name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['Catholic Student Bible-NABRE'],"
WorldCatholicPress",18.92,22.29,1408,['WORLD BIBLE PUB CO            '],Paperback,27/05/2011,['44 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780529064844
['Premium Value Slimline Bible-NLT-Large Print Cross'],"
Tyndale",31.76,37.42,1104,['TYNDALE HOUSE PUBL            '],Imitation,01/03/2016,['23 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781496413864
['The Message Ministry Edition'],"
Peterson,EugeneH.",14.99,17.66,906,['NAV PR                        '],Paperback,04/10/2016,['226 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781600065941
['Text Bible-NLT-Economy'],"
Tyndale",13.84,16.31,810,['TYNDALE HOUSE PUBL            '],Paperback,01/03/2006,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781414309477
['KJV Mini Pocket Edition: Zippered Black'],"
",24.62,29.01,0,['CHRISTIAN ART GIFTS           '],Imitation,01/10/2012,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781432102425
['Premium Value Slimline Bible-NLT-Large Print Crown'],"
Tyndale",31.76,37.42,1104,['TYNDALE HOUSE PUBL            '],Imitation,01/03/2016,['20 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781496413871
['Journaling Bible-ESV-Flowers'],"
CrosswayBibles",56.48,66.53,1066,['CROSSWAY BOOKS                '],Hardcover,30/09/2015,['3 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433548376
['Haitian New Testament with Psalms-FL'],"
HaitianBibleSociety",8.15,9.61,363,['AMER BIBLE SOC                '],Paperback,01/05/2010,['190 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781585169443
['She Reads Truth Bible-CSB'],"
CsbBiblesbyHolman",77.84,91.69,2226,['HOLMAN A J                    '],Imitation,15/04/2017,['423 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433613821
['Saint Joseph Medium Size Bible-NABRE'],"
CatholicBookPublishingCo",23.81,28.05,1632,['CATHOLIC BOOK PUB CO          '],Paperback,01/08/2011,['103 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780899429502
['She Reads Truth Bible-CSB'],"
CsbBiblesbyHolman",79.22,93.31,2226,['HOLMAN A J                    '],Hardcover,15/04/2017,['733 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433648199
['Catholic Bible-RSV-Compact Zipper'],"
OxfordUniversityPress",46.49,54.77,1253,['OXFORD UNIV PR                '],Imitation,01/02/2005,['24 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780195288537
['Good News Bible-TEV'],"
AmericanBibleSociety",16.89,19.9,1408,['AMER BIBLE SOC                '],Paperback,01/03/2001,['68 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781585160815
['She Reads Truth Bible-CSB'],"
CsbBiblesbyHolman",79.22,93.31,2226,['HOLMAN A J                    '],Hardcover,15/04/2017,['495 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433648212
['Economy New Testament with Psalms-KJV'],"
HolmanBibleStaff",5.86,6.91,576,['HOLMAN A J                    '],Imitation,16/11/1995,['10 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781558190375
['ESV Economy Bible'],"
",8.88,10.47,1408,['WORLD BIBLE PUB CO            '],Paperback,27/05/2011,['44 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433558276
['She Reads Truth Bible-CSB'],"
CsbBiblesbyHolman",91.68,107.99,1104,['TYNDALE HOUSE PUBL            '],Hardcover,01/03/2016,['23 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433648205
