name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
"['The Secret Wisdom of Nature: Trees, Animals, and the Extraordinary Balance of All Living Things --- Stories from Science and Observation']","
Wohlleben,Peter",40.22,47.38,272,['GREYSTONE                     '],Hardcover,05/03/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781771643887
['The Death and Life of the Great Lakes'],"
Egan,Dan",25.34,29.85,384,['W W NORTON & CO INC           '],Paperback,10/04/2018,['4 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393355550
['Accessory to War: The Unspoken Alliance Between Astrophysics and the Military'],"
Tyson,NeilDeGrasse",47.03,55.4,576,['W W NORTON & CO INC           '],Hardcover,11/09/2018,['91 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393064445
['The Sixth Extinction: An Unnatural History'],"
Kolbert,Elizabeth",25.44,29.97,336,['PICADOR                       '],Paperback,06/01/2015,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250062185
['Where Good Ideas Come from: The Natural History of Innovation'],"
Johnson,Steven",23.36,27.52,344,['RIVERHEAD                     '],Paperback,04/10/2011,['9 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781594485381
['A Brief History of Time'],"
Hawking,Stephen",25.58,30.13,224,['BANTAM DELL                   '],Paperback,01/09/1998,['68 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780553380163
['Welcome to the Universe: An Astrophysical Tour'],"
Tyson,NeilDegrasse",63.73,75.07,480,['PRINCETON UNIV PR             '],Hardcover,29/09/2016,['69 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691157245
['Rising: Dispatches from the New American Shore'],"
Rush,Elizabeth",43.25,50.95,320,['MILKWEED ED                   '],Hardcover,12/06/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781571313676
['Drawdown: The Most Comprehensive Plan Ever Proposed to Reverse Global Warming'],"
Hawken,Paul",42.05,49.53,256,['PENGUIN GROUP                 '],Paperback,18/04/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780143130444
['Lost in Math: How Beauty Leads Physics Astray'],"
Hossenfelder,Sabine",42.41,49.96,304,['BASIC BOOKS                   '],Hardcover,12/06/2018,['37 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780465094257
['Energy and Civilization: A History'],"
Smil,Vaclav",37.0,43.59,568,['MIT PR                        '],Paperback,13/11/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780262536165
['The Craft of Research'],"
Booth,WayneC.",26.77,31.54,336,['UNIV OF CHICAGO PR            '],Paperback,18/10/2016,['201 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780226239736
['The Disordered Mind: What Unusual Brains Tell Us about Ourselves'],"
Kandel,EricR.",45.15,53.19,304,['FARRAR STRAUS & GIROUX        '],Hardcover,28/08/2018,['32 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374287863
['Liquid Rules: The Delightful and Dangerous Substances That Flow Through Our Lives'],"
Miodownik,Mark",35.82,42.2,256,['HOUGHTON MIFFLIN              '],Hardcover,19/02/2019,['275 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780544850194
['The Order of Time'],"
Rovelli,Carlo",27.88,32.85,256,['RIVERHEAD                     '],Hardcover,08/05/2018,['10 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780735216105
['The Best American Science and Nature Writing 2018'],"
Kean,Sam",23.12,27.24,368,['MARINER BOOKS                 '],Paperback,02/10/2018,['85 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328987808
['Molecules: The Elements and the Architecture of Everything'],"
Gray,Theodore",51.1,60.19,240,['BLACK DOG & LEVENTHAL         '],Hardcover,15/10/2014,['27 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781579129712
"[""Inconvenient Facts: The Science That Al Gore Doesn't Want You to Know""]","
Wrightstone,Gregory",33.79,39.81,158,['SILVER CROWN PROD             '],Paperback,24/10/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781545614105
"[""Plague: One Scientista's Intrepid Search for the Truth about Human Retroviruses and Chronic Fatigue Syndrome (Me/Cfs), Autism,""]","
Heckenlively,Kent",30.4,35.81,464,['SKYHORSE PUB                  '],Paperback,21/02/2017,['13 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781510713949
['Navigating Metabolism'],"
Chandel,Navdeep",126.83,149.39,0,['COLD SPRING HARBOR LABORATORY '],Paperback,01/11/2014,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781621821298
['To Engineer is Human: The Role of Failure in Successful Design'],"
Petroski,Henry",23.67,27.89,272,['GREYSTONE                     '],Paperback,05/03/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780679734161
"['The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth']","
Kaku,Michio",44.18,52.04,384,['W W NORTON & CO INC           '],Hardcover,10/04/2018,['4 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780385542760
"['Eager: The Surprising, Secret Life of Beavers and Why They Matter']","
Goldfarb,Ben",37.03,43.62,576,['W W NORTON & CO INC           '],Hardcover,11/09/2018,['91 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781603587396
['Elements: A Visual Exploration of Every Known Atom in the Universe'],"
Gray,Theodore",51.55,60.73,336,['PICADOR                       '],Hardcover,06/01/2015,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781579128142
